Vista 99,-121.957171,37.412249,San Jose,CA
Domain,-121.955257,37.414793,Pleasanton,CA
LINQ Apartment Homes,-121.86711,37.366157,Fremont,CA
Foundry Commons,-121.876554,37.325088,Milpitas,CA
Waterstone,-121.847825,37.273842,Mountain View,CA
Misora,-121.946708,37.319719,San Jose,CA
Sagemark,-121.844647,37.274531,Mountain View,CA
Avana Skyway,-121.835176,37.26771,Pleasanton,CA
Vintage,-121.85799,37.669872,San Jose,CA
Avana Pleasanton,-121.876086,37.675482,San Jose,CA
Anton Hacienda,-121.886577,37.68814,Fremont,CA
Park Hacienda,-121.886508,37.694939,Foster City,CA
Gatewood Apartments,-121.872231,37.68947,San Franscisco,CA
The Kensington,-121.895476,37.656106,Foster City,CA
Stoneridge,-121.922814,37.693627,San Jose,CA
Civic Square,-121.883294,37.657574,Pleasanton,CA
Merritt on 3rd,-122.25649,37.796198,Foster City,CA
Allegro at Jack London Square,-122.270396,37.794821,Oakland,CA
Mason at Hive,-122.267299,37.813227,San Franscisco,CA
The Nook,-122.264003,37.813742,Milpitas,CA
901 Jefferson,-122.276997,37.802747,Hayward,CA
Lion Creek Crossings,-122.19759,37.756431,Bayfair,CA
362 Jayne,-122.254587,37.813796,Berkley,CA
414 Grand Ave,-122.253375,37.808992,San Luis Obispo,CA
De Tolosa Ranch Apartments,-120.691599,35.255353,San Diego,CA
Rancho Obispo Apartments,-120.691034,35.254712,San Diego,CA
Madonna Road Apartments,-120.693935,35.256033,San Diego,CA
Puerta Del Sol Apartments,-120.677635,35.24125,Berkley,CA
El Tigre Apartments,-120.692991,35.257462,Foster City,CA
Galleon Way Apartments,-120.691491,35.261131,Redwood City,CA
Fairview Apartments,-120.652265,35.280144,Oakland,CA
Valencia Apartments,-120.674898,35.292733,Bayfair,CA
340 Fremont,-122.393149,37.787187,Hayward,CA
SoMa Square,-122.397709,37.783823,Foster City,CA
One Henry Adams,-122.403348,37.769628,Mountain View,CA
Carmel Rincon,-122.392196,37.791744,Los Angeles,CA
Waterbend,-122.395847,37.724955,Los Angeles,CA
NEMA,-122.417332,37.775828,Santa Barbara,CA
Jasper,-122.394076,37.785686,Pleasanton,CA
The Fillmore Center,-122.432936,37.783028,San Jose,CA
